_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
950,950,8128878,ST JOSEPH'S COLLEGE SCHOOL,,ES,Toronto Catholic District School Board,74 WELLESLEY ST W,English Separate,8128878,74,Wellesley St W,74 Wellesley St W,M5S 1C4,former Toronto,Toronto,St. Joseph's College,102004,8128875,74,,,,4649,"{'type': 'MultiPoint', 'coordinates': [[-79.3888646582957, 43.6644368621349]]}"
951,951,13971304,ST JOSEPH'S MORROW PARK CATHOLIC SECONDARY SCHOOL,,ES,Toronto Catholic District School Board,3379 BAYVIEW AVE,English Separate,13971304,3379,Bayview Ave,3379 Bayview Ave,M2M 3S4,North York,Toronto,St. Josephs Morrow Park,102004,9531674,3379,,,,24,"{'type': 'MultiPoint', 'coordinates': [[-79.3931745580941, 43.7978488469558]]}"
952,952,574322,ST JUDE CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,3251 WESTON RD,English Separate,574322,3251,Weston Rd,3251 Weston Rd,M9M 2T9,North York,Toronto,St. Jude Catholic School,102003,442805,3251,,,,952,"{'type': 'MultiPoint', 'coordinates': [[-79.5392565396502, 43.7404844801824]]}"
953,953,540372,ST KATERI TEKAKWITHA CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,70 MARGARET AVE,English Separate,540372,70,Margaret Ave,70 Margaret Ave,M2J 4C5,North York,Toronto,St. Kateri Tekakwitha Catholic School,102003,30101247,70,,,,6157,"{'type': 'MultiPoint', 'coordinates': [[-79.3380515908991, 43.7858197125024]]}"
954,954,366586,ST KEVIN CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,15 MURRAY GLEN DR,English Separate,366586,15,Murray Glen Dr,15 Murray Glen Dr,M1R 3J6,Scarborough,Toronto,St. Kevin Catholic School,102003,110028,15,,,,8555,"{'type': 'MultiPoint', 'coordinates': [[-79.3061817661922, 43.7507604549417]]}"
955,955,4605081,ST LAWRENCE CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,2216 LAWRENCE AVE E,English Separate,4605081,2216,Lawrence Ave E,2216 Lawrence Ave E,M1P 2P9,Scarborough,Toronto,St. Lawrence Catholic School,102003,4605094,2216,,,,3828,"{'type': 'MultiPoint', 'coordinates': [[-79.279920844721, 43.7493063881773]]}"
956,956,7570012,ST LEO CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,165 STANLEY AVE,English Separate,7570012,165,Stanley Ave,165 Stanley Ave,M8V 1P1,Etobicoke,Toronto,St. Leo Catholic School,102003,20052938,165,,,,2520,"{'type': 'MultiPoint', 'coordinates': [[-79.4962884514206, 43.6142799913749]]}"
957,957,13315640,ST LEONARD ADULT EDUCATION CENTRE,,ES,Toronto Catholic District School Board,100 RAVEL RD,English Separate,13315640,100,Ravel Rd,100 Ravel Rd,M2H 1S9,North York,Toronto,Oxford Academy,102003,13315627,100,,,,6503,"{'type': 'MultiPoint', 'coordinates': [[-79.367340385707, 43.7919518364679]]}"
958,958,6942666,ST LOUIS CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,11 MORGAN AVE,English Separate,6942666,11,Morgan Ave,11 Morgan Ave,M8Y 2Z7,Etobicoke,Toronto,St. Louis Catholic School,102003,20053158,11,,,,2139,"{'type': 'MultiPoint', 'coordinates': [[-79.5009553836076, 43.6257451246799]]}"
959,959,8431736,ST LUIGI CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,2 RUSKIN AVE,English Separate,8431736,2,Ruskin Ave,2 Ruskin Ave,M6P 3P8,former Toronto,Toronto,St. Luigi Catholic School,102003,8431729,2,,,,4342,"{'type': 'MultiPoint', 'coordinates': [[-79.4514701139127, 43.6628755818843]]}"
960,960,545070,ST MADELEINE CATHOLIC ELEMENTARY SCHOOL,,FS,Conseil scolaire de district catholique Centre-Sud,1 NESS DR,French Separate,545070,1,Ness Dr,1 Ness Dr,M3A 2W1,North York,Toronto,St Madeleine Catholic Elementary School,102003,439610,1,,,,6276,"{'type': 'MultiPoint', 'coordinates': [[-79.3227174245928, 43.762249209041]]}"
