_id,OBJECTID,GEO_ID,NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,GENERAL_USE_CODE,LONG,LAT
531,531,812871,JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL,130 GLENGROVE AVE W,English Public,812871,Glengrove Ave W,130 Glengrove Ave W,M4R 1P2,former Toronto,Toronto,102001,-79.4088642991292,43.7183259803294
534,534,30036190,JOSEPH BRANT SENIOR PUBLIC SCHOOL,270 MANSE RD,English Public,30036190,Manse Rd,270 Manse Rd,M1E 3V4,Scarborough,Toronto,102002,-79.1754975507903,43.7670440318193
536,536,1043008,JOSYF CARDINAL SLIPYJ CATHOLIC ELEMENTARY SCHOOL,35 WEST DEANE PARK DR,English Separate,1043008,West Deane Park Dr,35 West Deane Park Dr,M9B 2R5,Etobicoke,Toronto,102003,-79.5660253980864,43.6594751992159
532,532,13503695,JOHN WANLESS JUNIOR PUBLIC SCHOOL,245 FAIRLAWN AVE,English Public,13503695,Fairlawn Ave,245 Fairlawn Ave,M5M 1T2,former Toronto,Toronto,102001,-79.4120566947699,43.7288686420148
537,537,532121,JOYCE PUBLIC SCHOOL,26 JOYCE PKWY,English Public,532121,Joyce Pkwy,26 Joyce Pkwy,M6B 2S9,North York,Toronto,102001,-79.4637574882499,43.7097753946106
533,533,8822790,JONES AVENUE ADULT CENTRE,540 JONES AVE,English Public,8822790,Jones Ave,540 Jones Ave,M4J 3G9,former Toronto,Toronto,102002,-79.3395605756216,43.6772533084015
535,535,398881,JOSEPH HOWE SENIOR PUBLIC SCHOOL,20 WINTER GARDENS TRL,English Public,398881,Winter Gardens Trl,20 Winter Gardens Trl,M1C 3E7,Scarborough,Toronto,102001,-79.13729821037,43.785807845353
538,538,853872,KAPAPAMAHCHAKWEW - WANDERING SPIRIT SCHOOL,16 PHIN AVE,English Public,853872,Phin Ave,16 Phin Ave,M4J 3T2,former Toronto,Toronto,102002,-79.3366360566295,43.6791402347004
540,540,8004943,KEELE STREET JUNIOR PUBLIC SCHOOL,99 MOUNTVIEW AVE,English Public,8004943,Mountview Ave,99 Mountview Ave,M6P 2L5,former Toronto,Toronto,102001,-79.4615965745208,43.6575074742763
541,541,52633,KEELESDALE JUNIOR PUBLIC SCHOOL,200 BICKNELL AVE,English Public,52633,Bicknell Ave,200 Bicknell Ave,M6M 4G9,York,Toronto,102001,-79.4769463100751,43.6869571004579
539,539,987291,KAREN KAIN SCHOOL OF THE ARTS,60 BERL AVE,English Public,987291,Berl Ave,60 Berl Ave,M8Y 3C7,Etobicoke,Toronto,102001,-79.5001456127783,43.6310527117539
543,543,332056,KENNEDY PUBLIC SCHOOL,20 ELMFIELD CRES,English Public,332056,Elmfield Cres,20 Elmfield Cres,M1V 2Y6,Scarborough,Toronto,102001,-79.3081805175917,43.8188359157905
542,542,30059351,KENNEDY LINC,2907 KENNEDY RD,English Public,30059351,Kennedy Rd,2907 Kennedy Rd,M1V 1S8,Scarborough,Toronto,112001,-79.297388587778,43.8036230145775
544,544,2812332,KENSINGTON COMMUNITY SCHOOL,401 COLLEGE ST,English Public,2812332,College St,401 College St,M5T 1S9,former Toronto,Toronto,102001,-79.4057315246338,43.656397819463
545,545,30028628,KENTON LEARNING CENTRE LINC,34 KENTON DR,English Public,30028628,Kenton Dr,34 Kenton Dr,M2R 2H8,North York,Toronto,102001,-79.4400572252658,43.7795492005875
547,547,14624738,KEW PARK MONTESSORI,79 HIAWATHA RD,Private,14624738,Hiawatha Rd,79 Hiawatha Rd,M4L 2X7,former Toronto,Toronto,109001,-79.3220904093213,43.6709030436291
546,546,8236907,KEW BEACH JUNIOR PUBLIC SCHOOL,101 KIPPENDAVIE AVE,English Public,8236907,Kippendavie Ave,101 Kippendavie Ave,M4L 3R3,former Toronto,Toronto,102001,-79.3027273153273,43.6684642406022
548,548,877373,KEYSTONE INTERNATIONAL SCHOOLS,23 TORONTO ST,Private,877373,Toronto St,23 Toronto St,M5C 2R1,former Toronto,Toronto,104008,-79.3760593471602,43.6505909714524
549,549,320282,KHAIRUL UMMAH SCHOOL,25 CIVIC RD,Private,320282,Civic Rd,25 Civic Rd,M1L 2K6,Scarborough,Toronto,113001,-79.2841109499937,43.7271075876609
552,552,71098,KING GEORGE JUNIOR PUBLIC SCHOOL,25 REXFORD RD,English Public,71098,Rexford Rd,25 Rexford Rd,M6S 2M2,York,Toronto,102001,-79.4868867512535,43.6631626964079
550,550,876040,KIMBERLEY JUNIOR PUBLIC SCHOOL,50 SWANWICK AVE,English Public,876040,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,102001,-79.2991278839731,43.6826199722785
558,558,1037710,KIPLING COLLEGIATE INSTITUTE,380 THE WESTWAY,English Public,1037710,The Westway,380 The Westway,M9R 1H4,Etobicoke,Toronto,102002,-79.5623537178777,43.685288122965
551,551,6355068,KING EDWARD JUNIOR & SENIOR PUBLIC SCHOOL,112 LIPPINCOTT ST,English Public,6355068,Lippincott St,112 Lippincott St,M5S 2P1,former Toronto,Toronto,102001,-79.4074089349881,43.6582441160701
554,554,533947,KINGSLAKE PUBLIC SCHOOL,90 KINGSLAKE RD,English Public,533947,Kingslake Rd,90 Kingslake Rd,M2J 3E8,North York,Toronto,102001,-79.3455302477626,43.7847819082729
556,556,1045581,KINGSVIEW VILLAGE JUNIOR SCHOOL,1 YORK RD,English Public,1045581,York Rd,1 York Rd,M9R 3C8,Etobicoke,Toronto,102001,-79.5507891278971,43.6978666584909
555,555,8740071,KINGSLEY PRIMARY,3962 BLOOR ST W,Private,8740071,Bloor St W,3962 Bloor St W,M9B 1M3,Etobicoke,Toronto,109001,-79.548944102949,43.6393811176489
553,553,515827,KING'S ACADEMY,77 FINCH AVE W,Private,515827,Finch Ave W,77 Finch Ave W,M2N 2H5,North York,Toronto,100001,-79.4221165959314,43.7780697274351
